,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
36,601127,赛力斯汽车5月销量同比增489%，暂未公布问界交付量,6月2日，赛力斯（601127.SH）发布公告显示，5月新能源汽车销量3.41万辆，同比增长298.62%；本年累计销量,2024-06-02 21:41:09,南方都市报,http://finance.eastmoney.com/a/202406023093176185.html
37,601127,汽车行业资金流入榜：赛力斯等5股净流入资金超5000万元,（数据宝） 汽车行业资金流入榜 代码简称今日涨跌幅（%）今日换手率（%）主力资金流量（万元）601127赛力斯5.824.5495904.81002594,2024-06-17 16:30:17,证券时报网,http://finance.eastmoney.com/a/202406173105613957.html
38,601127,赛力斯预计净利减少超4亿元！发生了什么？,6月11日晚间，赛力斯（601127）公告了两则重磅消息。 ,2024-06-11 22:22:57,证券时报·e公司,http://finance.eastmoney.com/a/202406113101052159.html
39,601127,杠杆资金大手笔加仓股名单,最新融资余额（万元）占流通市值比例（%）所属行业600519贵州茅台-0.8717326.502221880.151.15食品饮料601127,2024-06-18 09:20:30,证券时报网,http://finance.eastmoney.com/a/202406183106305738.html
40,601127,赛力斯：拟购买龙盛新能源100%股权,赛力斯6011274月29日晚间公告，公司拟通过发行股份的方式购买重庆产业母基金、两江开投、两江产发持有的龙盛新能源,2024-04-29 21:32:10,证券时报网,http://finance.eastmoney.com/a/202404293064114056.html
41,601127,杠杆资金大手笔加仓股名单,赛力斯0.485121.93658964.385.05汽车600176中国巨石-4.325029.1794510.412.13,2024-06-14 09:30:59,证券时报网,http://finance.eastmoney.com/a/202406143103810860.html
42,601127,新势力“榜一”遭遇疯狂一小时 赛力斯遭资金抛弃惨跌停,6月25日，千亿市值赛力斯（601127.SH）放量近百亿跌停，收报85.71元，总市值1294亿元。 ,2024-06-25 20:21:41,第一财经,http://finance.eastmoney.com/a/202406253113326365.html
43,601127,赛力斯：一季度净利润2.2亿元 同比扭亏,赛力斯6011274月29日晚间披露一季报，公司2024年一季度实现营业收入265.61亿元，同比增长421.76%,2024-04-29 21:32:11,证券时报网,http://finance.eastmoney.com/a/202404293064113923.html
44,601127,赛力斯5月新能源汽车销量同比增长近299% 问界新M7 Ultra上市即交付,证券时报网讯，6月2日，赛力斯601127发布5月产销快报称，赛力斯新能源汽车5月销量达34130辆，同比增长298.62%,2024-06-02 16:41:24,证券时报网,http://finance.eastmoney.com/a/202406023093129695.html
45,601127,汽车行业今日涨1.91%，主力资金净流入12.29亿元,（数据宝） 汽车行业资金流入榜 代码简称今日涨跌幅（%）今日换手率（%）主力资金流量（万元）601127赛力斯8.025.6175847.97600733,2024-06-18 16:46:40,证券时报网,http://stock.eastmoney.com/a/202406183106746183.html
46,601127,主力动向：6月26日特大单净流入15.17亿元,002938鹏鼎控股40.478.790.77电子特大单净流出资金排名代码简称收盘价（元）涨跌幅（%）特大单净流入（亿元）行业601127,2024-06-26 17:22:29,证券时报网,http://stock.eastmoney.com/a/202406263114567297.html
47,601127,芯片股、光模块大跌拖累A股 工业母机、房地产逆市上涨,此外赛力斯（601127）午后跌停。,2024-06-25 16:38:26,南方都市报,http://finance.eastmoney.com/a/202406253113175153.html
48,601127,赛力斯：2023年度净利润约-24.5亿元,赛力斯（SH 601127，收盘价：95.4元）4月30日发布年度业绩报告称，2023年营业收入约358.42亿元，同比增加,2024-04-30 00:47:18,每日经济新闻,http://finance.eastmoney.com/a/202404303064277849.html
