,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
0,766,每日网签 | 6月24日北京新房网签308套、二手房网签766套,日北京新房网签308套，网签面积27781.63平方米，其中住宅网签134套，网签面积18789.34平方米；二手房网签766,2024-06-25 10:02:31,北京商报,http://finance.eastmoney.com/a/202406253112834976.html
1,766,张小泉：2024年第一季度净利润约766万元,28日晚间发布一季度业绩公告称，2024年第一季度营收约2.13亿元，同比增加11.38%；归属于上市公司股东的净利润约766,2024-04-28 17:02:14,每日经济新闻,http://finance.eastmoney.com/a/202404283062701725.html
2,766,1-3月电网工程完成投资766亿元 同比增长14.7%,（文章来源：深圳商报）,2024-04-23 06:25:43,深圳商报,http://finance.eastmoney.com/a/202404233055038442.html
3,766,金利华电：2023年度净利润约766万元,）4月23日晚间发布年度业绩报告称，2023年营业收入约1.83亿元，同比增加54.76%；归属于上市公司股东的净利润约766,2024-04-23 22:51:44,每日经济新闻,http://finance.eastmoney.com/a/202404233056315040.html
4,766,国家能源局：今年前三月电网工程完成投资766亿元 同比增长14.7%,电网工程完成投资766亿元，同比增长14.7%。 （文章来源：新华财经）,2024-04-22 10:03:36,新华财经,http://finance.eastmoney.com/a/202404223054027067.html
5,766,张小泉(301055.SZ)：2024年前一季度实现净利润766万元，同比下降9.58%,公司实现营业收入2.13亿元，同比增长11.38%，归母净利润为766万元，同比下降9.58%，实现经营活动产生的现金流量净额,2024-04-29 09:22:34,界面新闻,http://finance.eastmoney.com/a/202404293063151876.html
6,766,黑猫投诉：美团外卖、京东商城和抖音2月20日新增投诉完成处理766起、381起和351起,21日电，根据黑猫投诉网站数据显示，2月20日新增投诉完成处理最高前三名的商家分别为：美团外卖、京东商城和抖音，分别增加766,2024-02-21 11:06:55,南方财经网,http://finance.eastmoney.com/a/202402212990493012.html
7,766,广和通：股东广和创虹拟减持不超过约766万股 叶志斌拟减持不超过约105万股,占剔除回购专用账户股份后公司总股本的2.53%，计划通过集中竞价、大宗交易等深圳证券交易所认可的合法方式减持股份数量合计不超过约766,2023-12-27 20:33:42,每日经济新闻,http://finance.eastmoney.com/a/202312272945401556.html
8,766,鑫铂股份：控股股东承诺12个月内不减持公司股份,"唐开健持有78,991,766股公司股份，占总股本的31.69%。（文章来源：界面新闻）",2024-06-17 19:42:36,界面新闻,http://finance.eastmoney.com/a/202406173105756442.html
9,766,上海莱士(002252.SZ)：20%股份完成过户登记，海尔集团成为新实控人,"随着过户登记的完成，海盈康现持有上海莱士1,329,096,152股股份，占公司总股本的20%，海尔集团通过海盈康合计控制公司1,766,165,808",2024-06-19 13:24:08,界面新闻,http://finance.eastmoney.com/a/202406193107718968.html
10,766,大名城(600094.SH)：总经理俞锦解质押后再质押4600万股 用于提供担保,"俞锦先生是公司控股股东之一致行动人、董事局副主席兼总经理，持有公司流通A股份123,766,253股，占公司总股本的5.00%",2024-06-06 17:35:46,界面新闻,http://finance.eastmoney.com/a/202406063097990057.html
11,766,招商轮船：业绩说明会定于6月7日举行,截至发稿，招商轮船市值为766亿元。（文章来源：每日经济新闻）,2024-05-29 18:16:38,每日经济新闻,http://finance.eastmoney.com/a/202405293090333011.html
12,766,综合行业6月24日资金流向日报,3.561.76-44.37600689上海三毛-3.871.891.25000652泰达股份-2.600.4817.52600766,2024-06-24 16:41:27,证券时报网,http://stock.eastmoney.com/a/202406243111912579.html
13,766,科锐国际股东户数连续5期下降 筹码集中以来股价累计下跌1.87%,科锐国际5月13日在交易所互动平台中披露，截至5月10日公司股东户数为9388户，较上期（4月30日）减少766户，环比降幅为,2024-05-14 12:50:38,证券时报网,http://finance.eastmoney.com/a/202405143075988636.html
14,766,科锐国际股东户数连续5期下降 累计降幅16.98%,证券时报网讯，科锐国际5月13日在交易所互动平台中披露，截至5月10日公司股东户数为9388户，较上期（4月30日）减少766,2024-05-13 17:18:04,证券时报网,http://finance.eastmoney.com/a/202405133074770177.html
15,766,光大证券：2024年第一季度净利润约6.82亿元,截至发稿，光大证券市值为766亿元。（文章来源：每日经济新闻）,2024-04-29 20:46:24,每日经济新闻,http://finance.eastmoney.com/a/202404293064090778.html
