,TRADE_DATE,LPR1Y,LPR5Y,RATE_1,RATE_2
130,2014-03-14,5.76,,6.0,6.55
131,2014-03-17,5.76,,6.0,6.55
132,2014-03-18,5.76,,6.0,6.55
133,2014-03-19,5.76,,6.0,6.55
134,2014-03-20,5.76,,6.0,6.55
135,2014-03-21,5.76,,6.0,6.55
136,2014-03-24,5.76,,6.0,6.55
137,2014-03-25,5.76,,6.0,6.55
138,2014-03-26,5.76,,6.0,6.55
139,2014-03-27,5.76,,6.0,6.55
140,2014-03-28,5.76,,6.0,6.55
141,2014-03-31,5.76,,6.0,6.55
142,2014-04-01,5.77,,6.0,6.55
143,2014-04-02,5.77,,6.0,6.55
144,2014-04-03,5.77,,6.0,6.55
145,2014-04-04,5.77,,6.0,6.55
146,2014-04-08,5.77,,6.0,6.55
147,2014-04-09,5.77,,6.0,6.55
148,2014-04-10,5.77,,6.0,6.55
149,2014-04-11,5.77,,6.0,6.55
150,2014-04-14,5.77,,6.0,6.55
151,2014-04-15,5.77,,6.0,6.55
152,2014-04-16,5.77,,6.0,6.55
153,2014-04-17,5.77,,6.0,6.55
154,2014-04-18,5.77,,6.0,6.55
155,2014-04-21,5.77,,6.0,6.55
156,2014-04-22,5.77,,6.0,6.55
157,2014-04-23,5.77,,6.0,6.55
158,2014-04-24,5.77,,6.0,6.55
159,2014-04-25,5.77,,6.0,6.55
160,2014-04-28,5.77,,6.0,6.55
161,2014-04-29,5.77,,6.0,6.55
162,2014-04-30,5.77,,6.0,6.55
163,2014-05-04,5.77,,6.0,6.55
164,2014-05-05,5.77,,6.0,6.55
165,2014-05-06,5.77,,6.0,6.55
166,2014-05-07,5.77,,6.0,6.55
167,2014-05-08,5.77,,6.0,6.55
168,2014-05-09,5.77,,6.0,6.55
169,2014-05-12,5.77,,6.0,6.55
170,2014-05-13,5.77,,6.0,6.55
171,2014-05-14,5.77,,6.0,6.55
172,2014-05-15,5.77,,6.0,6.55
173,2014-05-16,5.77,,6.0,6.55
174,2014-05-19,5.77,,6.0,6.55
175,2014-05-20,5.77,,6.0,6.55
176,2014-05-21,5.77,,6.0,6.55
177,2014-05-22,5.77,,6.0,6.55
178,2014-05-23,5.77,,6.0,6.55
179,2014-05-26,5.77,,6.0,6.55
180,2014-05-27,5.77,,6.0,6.55
181,2014-05-28,5.77,,6.0,6.55
182,2014-05-29,5.77,,6.0,6.55
183,2014-05-30,5.77,,6.0,6.55
184,2014-06-03,5.77,,6.0,6.55
185,2014-06-04,5.77,,6.0,6.55
186,2014-06-05,5.77,,6.0,6.55
187,2014-06-06,5.77,,6.0,6.55
188,2014-06-09,5.77,,6.0,6.55
189,2014-06-10,5.77,,6.0,6.55
190,2014-06-11,5.77,,6.0,6.55
191,2014-06-12,5.77,,6.0,6.55
192,2014-06-13,5.77,,6.0,6.55
193,2014-06-16,5.77,,6.0,6.55
194,2014-06-17,5.76,,6.0,6.55
195,2014-06-18,5.76,,6.0,6.55
196,2014-06-19,5.76,,6.0,6.55
197,2014-06-20,5.76,,6.0,6.55
198,2014-06-23,5.76,,6.0,6.55
199,2014-06-24,5.76,,6.0,6.55
200,2014-06-25,5.76,,6.0,6.55
201,2014-06-26,5.76,,6.0,6.55
202,2014-06-27,5.76,,6.0,6.55
203,2014-06-30,5.76,,6.0,6.55
204,2014-07-01,5.76,,6.0,6.55
205,2014-07-02,5.76,,6.0,6.55
206,2014-07-03,5.76,,6.0,6.55
207,2014-07-04,5.76,,6.0,6.55
208,2014-07-07,5.76,,6.0,6.55
209,2014-07-08,5.76,,6.0,6.55
210,2014-07-09,5.76,,6.0,6.55
211,2014-07-10,5.76,,6.0,6.55
212,2014-07-11,5.76,,6.0,6.55
213,2014-07-14,5.76,,6.0,6.55
214,2014-07-15,5.76,,6.0,6.55
215,2014-07-16,5.76,,6.0,6.55
216,2014-07-17,5.76,,6.0,6.55
217,2014-07-18,5.76,,6.0,6.55
218,2014-07-21,5.76,,6.0,6.55
219,2014-07-22,5.76,,6.0,6.55
220,2014-07-23,5.76,,6.0,6.55
221,2014-07-24,5.76,,6.0,6.55
222,2014-07-25,5.76,,6.0,6.55
223,2014-07-28,5.76,,6.0,6.55
224,2014-07-29,5.76,,6.0,6.55
225,2014-07-30,5.76,,6.0,6.55
226,2014-07-31,5.76,,6.0,6.55
227,2014-08-01,5.76,,6.0,6.55
228,2014-08-04,5.76,,6.0,6.55
229,2014-08-05,5.76,,6.0,6.55
230,2014-08-06,5.76,,6.0,6.55
231,2014-08-07,5.76,,6.0,6.55
232,2014-08-08,5.76,,6.0,6.55
233,2014-08-11,5.76,,6.0,6.55
234,2014-08-12,5.76,,6.0,6.55
235,2014-08-13,5.76,,6.0,6.55
236,2014-08-14,5.76,,6.0,6.55
237,2014-08-15,5.76,,6.0,6.55
238,2014-08-18,5.76,,6.0,6.55
239,2014-08-19,5.76,,6.0,6.55
240,2014-08-20,5.76,,6.0,6.55
241,2014-08-21,5.76,,6.0,6.55
242,2014-08-22,5.76,,6.0,6.55
243,2014-08-25,5.76,,6.0,6.55
244,2014-08-26,5.76,,6.0,6.55
245,2014-08-27,5.76,,6.0,6.55
246,2014-08-28,5.76,,6.0,6.55
247,2014-08-29,5.76,,6.0,6.55
248,2014-09-01,5.76,,6.0,6.55
249,2014-09-02,5.76,,6.0,6.55
250,2014-09-03,5.76,,6.0,6.55
251,2014-09-04,5.76,,6.0,6.55
252,2014-09-05,5.76,,6.0,6.55
253,2014-09-09,5.76,,6.0,6.55
254,2014-09-10,5.76,,6.0,6.55
255,2014-09-11,5.76,,6.0,6.55
256,2014-09-12,5.76,,6.0,6.55
257,2014-09-15,5.76,,6.0,6.55
258,2014-09-16,5.76,,6.0,6.55
259,2014-09-17,5.76,,6.0,6.55
260,2014-09-18,5.76,,6.0,6.55
261,2014-09-19,5.76,,6.0,6.55
262,2014-09-22,5.76,,6.0,6.55
263,2014-09-23,5.76,,6.0,6.55
264,2014-09-24,5.76,,6.0,6.55
265,2014-09-25,5.76,,6.0,6.55
266,2014-09-26,5.76,,6.0,6.55
267,2014-09-28,5.76,,6.0,6.55
268,2014-09-29,5.76,,6.0,6.55
269,2014-09-30,5.76,,6.0,6.55
270,2014-10-08,5.76,,6.0,6.55
271,2014-10-09,5.76,,6.0,6.55
272,2014-10-10,5.76,,6.0,6.55
273,2014-10-11,5.76,,6.0,6.55
274,2014-10-13,5.76,,6.0,6.55
275,2014-10-14,5.76,,6.0,6.55
276,2014-10-15,5.76,,6.0,6.55
277,2014-10-16,5.76,,6.0,6.55
278,2014-10-17,5.76,,6.0,6.55
279,2014-10-20,5.76,,6.0,6.55
280,2014-10-21,5.76,,6.0,6.55
